-54,-337,26
-92,-180,-57
-61,-119,-98
24,-37,-123
91,86,-97
184,295,-82
231,380,-98
286,471,-76
335,536,-73
329,611,-125
268,614,-120
74,538,-109
-75,303,-88
-75,61,-37
-130,-8,-37
-100,-64,-14
-90,-63,11
38,26,32
135,63,13
186,26,18
180,-52,21
-27,-232,31
-93,-251,23
-87,-263,11
-68,-230,-19
14,-67,-53
119,14,-58
186,133,-72
250,269,-72
311,481,-41
335,466,-19
345,433,-21
352,460,-63
319,617,-91
-,-,-
292,684,-49
117,613,-56
22,560,-113
39,185,-56
-155,-43,-74
-217,-264,1
-185,-234,71
-5,3,64
117,98,26
214,125,-10
255,49,-15
189,-192,44
76,-248,57
-56,-238,35
-80,-225,-20
-62,-74,-92
20,69,-102
165,200,-120
269,282,-131
305,400,-108
307,419,-86
293,450,-74
287,529,-83
174,632,-89
24,582,-113
-4,458,-126
98,322,-72
6,241,-72
-22,32,-14
-34,16,12
8,32,28
97,64,37
186,83,13
237,-61,8
197,-140,40
96,-195,50
28,-224,16
19,-150,-93
12,-72,-74
62,27,-65
159,169,-54
288,363,-26
319,420,0
313,462,10
311,468,8
280,535,-41
283,640,-35
169,706,-58
136,512,-97
103,138,-78
-200,-136,-147
-242,-280,-96
-72,-150,28
44,-4,38
121,65,42
210,37,7
230,-47,0
68,-255,51
-10,-293,26
-27,-320,-21
-43,-138,-66
88,23,-39
195,171,-41
227,259,-33
193,375,-22
240,456,-9
285,528,-24
366,578,-61
72,656,-79
149,561,-75
225,279,-91
-24,42,-135
-132,-188,-55
-71,-133,-1
39,-13,26
148,75,14
210,-17,-17
154,-100,5
62,-185,23
-3,-256,-6
-31,-204,-114
36,-83,-105
154,20,-75
231,129,-73
198,327,-39
210,393,-38
258,436,-29
268,465,-31
249,709,-9
58,628,-84
58,628,-84
160,466,-169
-196,-343,-70
-108,-192,10
-108,-192,10
151,120,46
202,15,-21
151,-146,5
62,-273,33
-16,-338,13
-47,-281,-76
27,-83,-65
87,69,1
134,153,17
137,382,48
155,450,74
205,521,80
289,604,37
118,748,-112
69,643,-99
170,387,-75
16,142,-105
-174,-242,-86
-130,-185,-5
-16,-86,39
93,34,48
152,10,13
132,-59,17
97,-138,24
49,-220,24
-91,-222,-72
5,-129,-125
125,-27,-110
198,25,-55
208,303,14
180,404,37
131,553,30
247,678,6
13,690,-66
134,516,-50
255,195,-38
26,-9,-82
-89,-171,-6
-13,-109,13
113,-18,-8
198,27,-24
-7,-223,41
-84,-320,47
-68,-334,-2
-26,-344,-72
11,-185,-118
135,17,-84
190,157,-55
188,267,-15
197,425,33
250,542,32
419,553,17
315,583,-63
46,325,-49
145,100,-63
5,38,-87
-106,-38,-80
-92,-138,6
